Id,Tipo,Edad,Sexo,Especialidad,Pacientes,Casos
1,Medico,43,H,Ayurveda,1000,259
2,Especialista,60,H,ENT Specialist,350,257
3,Clinica,46,H,Ayurveda,300,325
4,Hospital,58,H,Ayurveda,250,557
5,ONG,63,H,Ayurveda,250,539
6,Otro,49,H,Homeopath,1000,86
7,Medico,55,H,Dentist,200,328
8,Especialista,68,H,General Medicine,200,352
9,Clinica,68,H,Dentist,1000,4110
10,Hospital,44,H,ENT Specialist,1000,1053
11,ONG,34,H,Ayurveda,700,53
12,Otro,33,H,Dentist,1000,492
13,Medico,30,H,Dentist,200,48
14,Especialista,52,H,ENT Specialist,350,44
15,Clinica,62,H,General Medicine,500,350
16,Hospital,58,H,ENT Specialist,200,348
17,ONG,35,H,Homeopath,1000,535
18,Otro,36,H,ENT Specialist,300,492
19,Medico,46,H,General Medicine,400,456
20,Especialista,51,H,Dentist,1050,504
21,Clinica,57,H,ENT Specialist,1000,509
22,Hospital,41,H,General Medicine,500,232
23,ONG,42,H,General Medicine,200,88
24,Otro,38,H,Dermatologists,1000,514
25,Medico,51,H,Dentist,1000,485
26,Especialista,30,H,General Medicine,1000,597
27,Clinica,61,H,General Medicine,500,580
28,Hospital,52,H,Dentist,250,331
29,ONG,51,H,Dermatologists,1000,424
30,Otro,49,H,Dermatologists,500,460
31,Medico,48,H,Dentist,500,1065
32,Especialista,59,H,ENT Specialist,500,294
33,Clinica,38,H,General Medicine,1000,79
34,Hospital,46,H,Ayurveda,500,4710
35,ONG,64,H,Dentist,300,406
36,Otro,40,H,Dentist,400,308
37,Medico,66,H,Homeopath,250,297
38,Especialista,66,H,ENT Specialist,300,467
39,Clinica,34,H,General Medicine,1000,509
40,Hospital,43,H,Dentist,1000,583
41,ONG,33,H,Homeopath,250,55
42,Otro,43,H,Ayurveda,500,2010
43,Medico,49,H,Ayurveda,500,495
44,Especialista,38,H,Homeopath,300,214
45,Clinica,66,H,Dermatologists,500,585
46,Hospital,37,H,Dentist,500,397
47,ONG,51,H,General Medicine,200,78
48,Otro,34,H,Dermatologists,200,584
49,Medico,46,H,Dentist,400,1053
50,Especialista,66,H,General Medicine,200,237
51,Clinica,57,H,Ayurveda,1000,492
52,Hospital,69,H,Dermatologists,1050,549
53,ONG,50,H,Dentist,650,61
54,Otro,66,H,Ayurveda,1000,299
55,Medico,43,H,ENT Specialist,300,59
56,Especialista,68,H,Dentist,600,1026
57,Clinica,68,H,Dermatologists,200,79
58,Hospital,65,H,General Medicine,400,467
59,ONG,39,H,General Medicine,500,378
60,Otro,34,H,General Medicine,500,406
61,Medico,59,H,Dentist,500,1055
62,Especialista,68,H,Dentist,200,100
63,Clinica,64,H,Homeopath,200,398
64,Hospital,33,H,Homeopath,1050,507
65,ONG,70,H,Homeopath,200,458
66,Otro,64,H,Dentist,200,330
67,Medico,45,H,Dermatologists,500,37
68,Especialista,61,H,Homeopath,500,306
69,Clinica,36,H,ENT Specialist,1050,316
70,Hospital,35,H,Dentist,500,21
71,ONG,38,H,ENT Specialist,300,106
72,Otro,59,H,Homeopath,300,480
73,Medico,32,H,General Medicine,1000,359
74,Especialista,57,H,Dermatologists,1000,10102
75,Clinica,30,H,General Medicine,350,246
76,Hospital,55,H,Dentist,500,397
77,ONG,52,H,Dentist,1000,523
78,Otro,33,H,Dermatologists,300,204
79,Medico,49,H,Dentist,600,547
80,Especialista,48,H,General Medicine,200,537
81,Clinica,45,H,Dentist,1000,284
82,Hospital,41,H,Ayurveda,250,351
83,ONG,30,H,Dermatologists,50,380
84,Otro,42,H,Dentist,1000,382
85,Medico,50,H,General Medicine,200,217
86,Especialista,52,H,Dentist,1050,577
87,Clinica,38,H,Dermatologists,500,531
88,Hospital,32,H,Dermatologists,700,43
89,ONG,35,H,General Medicine,250,273
90,Otro,31,H,Ayurveda,50,472
91,Medico,56,H,Dermatologists,50,396
92,Especialista,53,H,Ayurveda,1000,527
93,Clinica,33,H,Dentist,250,535
94,Hospital,42,H,Dentist,200,105
95,ONG,69,H,Homeopath,500,538
96,Otro,47,H,Dermatologists,500,710
97,Medico,30,H,Dermatologists,700,337
