Id,Tipo,Especialidad, Puntuacion 
1,Medico,Ayurveda, 9.0 
2,Especialista,ENT Specialist, 9.0 
3,Clinica,Ayurveda, 8.0 
4,Hospital,Ayurveda, 8.0 
5,ONG,Ayurveda, 9.0 
6,Otro,Homeopath, 8.0 
7,Medico,Dentist, 8.0 
8,Especialista,General Medicine, 9.9 
9,Clinica,Dentist, 8.0 
10,Hospital,ENT Specialist, 8.0 
11,ONG,Ayurveda, 8.0 
12,Otro,Dentist, 8.0 
13,Medico,Dentist, 9.8 
14,Especialista,ENT Specialist, 8.0 
15,Clinica,General Medicine, 8.0 
16,Hospital,ENT Specialist, 8.0 
17,ONG,Homeopath, 8.0 
18,Otro,ENT Specialist, 8.0 
19,Medico,General Medicine, 7.9 
20,Especialista,Dentist, 10.0 
21,Clinica,ENT Specialist, 10.0 
22,Hospital,General Medicine, 8.0 
23,ONG,General Medicine, 8.0 
24,Otro,Dermatologists, 8.0 
25,Medico,Dentist, 8.0 
26,Especialista,General Medicine, 8.0 
27,Clinica,General Medicine, 10.0 
28,Hospital,Dentist, 9.5 
29,ONG,Dermatologists, 8.0 
30,Otro,Dermatologists, 9.7 
31,Medico,Dentist, 9.7 
32,Especialista,ENT Specialist, 8.0 
33,Clinica,General Medicine, 9.4 
34,Hospital,Ayurveda, 8.8 
35,ONG,Dentist, 8.0 
36,Otro,Dentist, 10.0 
37,Medico,Homeopath, 8.0 
38,Especialista,ENT Specialist, 9.0 
39,Clinica,General Medicine, 8.0 
40,Hospital,Dentist, 8.0 
41,ONG,Homeopath, 10.0 
42,Otro,Ayurveda, 10.0 
43,Medico,Ayurveda, 10.0 
44,Especialista,Homeopath, 8.0 
45,Clinica,Dermatologists, 9.9 
46,Hospital,Dentist, 8.0 
47,ONG,General Medicine, 10.0 
48,Otro,Dermatologists, 8.0 
49,Medico,Dentist, 9.3 
50,Especialista,General Medicine, 8.0 
51,Clinica,Ayurveda, 8.0 
52,Hospital,Dermatologists, 8.0 
53,ONG,Dentist, 8.0 
54,Otro,Ayurveda, 10.0 
55,Medico,ENT Specialist, 10.0 
56,Especialista,Dentist, 3.6 
57,Clinica,Dermatologists, 10.0 
58,Hospital,General Medicine, 9.7 
59,ONG,General Medicine, 8.0 
60,Otro,General Medicine, 9.9 
61,Medico,Dentist, 8.0 
62,Especialista,Dentist, 9.9 
63,Clinica,Homeopath, 9.8 
64,Hospital,Homeopath, 8.0 
65,ONG,Homeopath, 8.0 
66,Otro,Dentist, 10.0 
67,Medico,Dermatologists, 10.0 
68,Especialista,Homeopath, 7.8 
69,Clinica,ENT Specialist, 8.0 
70,Hospital,Dentist, 9.9 
71,ONG,ENT Specialist, 9.3 
72,Otro,Homeopath, 8.0 
73,Medico,General Medicine, 8.0 
74,Especialista,Dermatologists, 8.0 
75,Clinica,General Medicine, 8.7 
76,Hospital,Dentist, 9.3 
77,ONG,Dentist, 8.0 
78,Otro,Dermatologists, 9.8 
79,Medico,Dentist, 9.7 
80,Especialista,General Medicine, 8.0 
81,Clinica,Dentist, 8.0 
82,Hospital,Ayurveda, 8.0 
83,ONG,Dermatologists, 8.0 
84,Otro,Dentist, 9.9 
85,Medico,General Medicine, 10.0 
86,Especialista,Dentist, 8.0 
